"id","cust_name","cust_type","cust_ref_no","cust_website","cust_email","cust_contact_no","cust_contact_no_ext","cust_tax_id","cust_primary_address","cust_primary_city","cust_primary_state","cust_primary_country","cust_primary_postal","cust_primary_unit_no","cust_mailing_address","cust_mailing_city","cust_mailing_state","cust_mailing_country","cust_mailing_postal","cust_mailing_unit_no","cust_ap_name","cust_ap_address","cust_ap_city","cust_ap_state","cust_ap_country","cust_ap_postal","cust_ap_unit_no","cust_ap_email","cust_ap_phone","cust_ap_phone_ext","cust_ap_fax","cust_broker_name","cust_bkp_notes","cust_bkspl_notes","cust_credit_status","cust_credit_mop","cust_credit_appd","cust_credit_expd","cust_credit_terms","cust_credit_limit","cust_credit_notes","cust_credit_application","cust_credit_currency","cust_sbk_agreement","cust_credit_agreement","cust_contact","cust_equipment","created_at","updated_at"
"1","Robin Joseph","Retailer","54345345345","www.fred.com","robinjo1776@gmail.com","5435345345","33","535435","30 Greendowns Drive","Toronto","Ontario","Canada","M1M 2G7",NULL,"5 E 98th St, New York, NY 10029, USA","New York","New York","United States","10029",NULL,"George","I-405, Los Angeles, CA, USA","Los Angeles","California","United States","44442g","33","robinjo1776@gmail.com","4379713752","55",NULL,"broker2",NULL,NULL,"Approved","Direct Deposit","2024-09-10","2024-10-10","5","4","bdbdgbb",NULL,"USD",NULL,NULL,NULL,"[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
"7","Rajesh","Distributor","46446467","www.ffrg.com","rajesh@gmail.com","on","209","JN 6756","30 Greenwich Avenue","New York","New York","United States","10011",NULL,"8",NULL,NULL,NULL,NULL,NULL,NULL,"90 Feet Road","Patna","Bihar","India",NULL,NULL,NULL,NULL,NULL,NULL,"Broker 2","good","hgjg","Not Approved","Wire Transfer","2024-12-03","2025-01-03","39","7","fhjfhj","1","USD","http://127.0.0.1:8000/storage/uploads/VKobKSy3BoCpXLdU0z3oELwmLV9vCpObFAzMo2qx.pdf","http://127.0.0.1:8000/storage/uploads/Vqr9npXj8Vk1OjFFWEzpQXKMCBRlbvxm73s8TESS.pdf","[]","[]","2024-11-22 04:01:55","2024-12-06 06:43:38"
"8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-12-26 03:35:34","2024-12-26 03:35:34"
"9","Robin Joseph","Retailer","54345345345","www.fred.com","robinjo1776@gmail.com","5435345345","33","535435","30 Greendowns Drive","Toronto","Ontario","Canada","M1M 2G7",NULL,"5 E 98th St, New York, NY 10029, USA","New York","New York","United States","10029",NULL,"George","I-405, Los Angeles, CA, USA","Los Angeles","California","United States","44442g","33","robinjo1776@gmail.com","4379713752","55",NULL,"broker2",NULL,NULL,"Approved","Direct Deposit","2024-09-10","2024-10-10","5","4","bdbdgbb",NULL,"USD",NULL,NULL,NULL,"[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
"10","Rajesh","Distributor","46446467","www.ffrg.com","rajesh@gmail.com","on","209","JN 6756","30 Greenwich Avenue","New York","New York","United States","10011",NULL,"8",NULL,NULL,NULL,NULL,NULL,NULL,"90 Feet Road","Patna","Bihar","India",NULL,NULL,NULL,NULL,NULL,NULL,"Broker 2","good","hgjg","Not Approved","Wire Transfer","2024-12-03","2025-01-03","39","7","fhjfhj","1","USD","http://127.0.0.1:8000/storage/uploads/VKobKSy3BoCpXLdU0z3oELwmLV9vCpObFAzMo2qx.pdf","http://127.0.0.1:8000/storage/uploads/Vqr9npXj8Vk1OjFFWEzpQXKMCBRlbvxm73s8TESS.pdf","[]","[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
"11","Robin Joseph","Retailer","54345345345","www.fred.com","robinjo1776@gmail.com","5435345345","33","535435","30 Greendowns Drive","Toronto","Ontario","Canada","M1M 2G7",NULL,"5 E 98th St, New York, NY 10029, USA","New York","New York","United States","10029",NULL,"George","I-405, Los Angeles, CA, USA","Los Angeles","California","United States","44442g","33","robinjo1776@gmail.com","4379713752","55",NULL,"broker2",NULL,NULL,"Approved","Direct Deposit","2024-09-10","2024-10-10","5","4","bdbdgbb",NULL,"USD",NULL,NULL,NULL,"[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
"12","Robin Joseph","Retailer","54345345345","www.fred.com","robinjo1776@gmail.com","5435345345","33","535435","30 Greendowns Drive","Toronto","Ontario","Canada","M1M 2G7",NULL,"5 E 98th St, New York, NY 10029, USA","New York","New York","United States","10029",NULL,"George","I-405, Los Angeles, CA, USA","Los Angeles","California","United States","44442g","33","robinjo1776@gmail.com","4379713752","55",NULL,"broker2",NULL,NULL,"Approved","Direct Deposit","2024-09-10","2024-10-10","5","4","bdbdgbb",NULL,"USD",NULL,NULL,NULL,"[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
"13","Robin Joseph","Retailer","54345345345","www.fred.com","robinjo1776@gmail.com","5435345345","33","535435","30 Greendowns Drive","Toronto","Ontario","Canada","M1M 2G7",NULL,"5 E 98th St, New York, NY 10029, USA","New York","New York","United States","10029",NULL,"George","I-405, Los Angeles, CA, USA","Los Angeles","California","United States","44442g","33","robinjo1776@gmail.com","4379713752","55",NULL,"broker2",NULL,NULL,"Approved","Direct Deposit","2024-09-10","2024-10-10","5","4","bdbdgbb",NULL,"USD",NULL,NULL,NULL,"[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
"14","Robin Joseph","Retailer","54345345345","www.fred.com","robinjo1776@gmail.com","5435345345","33","535435","30 Greendowns Drive","Toronto","Ontario","Canada","M1M 2G7",NULL,"5 E 98th St, New York, NY 10029, USA","New York","New York","United States","10029",NULL,"George","I-405, Los Angeles, CA, USA","Los Angeles","California","United States","44442g","33","robinjo1776@gmail.com","4379713752","55",NULL,"broker2",NULL,NULL,"Approved","Direct Deposit","2024-09-10","2024-10-10","5","4","bdbdgbb",NULL,"USD",NULL,NULL,NULL,"[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
"15","Robin Joseph","Retailer","54345345345","www.fred.com","robinjo1776@gmail.com","5435345345","33","535435","30 Greendowns Drive","Toronto","Ontario","Canada","M1M 2G7",NULL,"5 E 98th St, New York, NY 10029, USA","New York","New York","United States","10029",NULL,"George","I-405, Los Angeles, CA, USA","Los Angeles","California","United States","44442g","33","robinjo1776@gmail.com","4379713752","55",NULL,"broker2",NULL,NULL,"Approved","Direct Deposit","2024-09-10","2024-10-10","5","4","bdbdgbb",NULL,"USD",NULL,NULL,NULL,"[]","2024-09-23 09:47:43","2024-12-06 11:03:20"
