"id","customer","customer_ref_no","branch","booked_by","account_rep","sales_rep","customer_po_no","commodity","equipment","load_type","temperature","origin_location","destination_location","hot","team","air_ride","tarp","hazmat","currency","base_price","charges","discounts","gst","pst","hst","qst","final_price","notes","created_at","updated_at"
"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-12-26 02:29:48","2024-12-26 02:29:48"
"2","John Doe","JD1234","Branch 1","Agent A","Rep 1","Rep 2","PO-789","Electronics","Van","Full Load","Ambient","""[\""City A\"",\""Address 1\""]""","""[\""City B\"",\""Address 2\""]""","0","1","1","0","0","USD","1500.00","""[{\""name\"":\""Service Fee\"",\""amount\"":100}]""","[{""name"":""Seasonal Discount"",""amount"":50}]","75.00","50.00","25.00","30.00","1675.00","Handle with care.","2024-12-26 02:34:00","2024-12-26 02:34:00"
"3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-12-26 02:36:20","2024-12-26 02:36:20"
"4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-12-26 02:36:30","2024-12-26 02:36:30"
"5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-12-26 02:40:36","2024-12-26 02:40:36"
"6","Customer 1","CR0001","Branch 3","Michael Jordan","Kevin Durant","Tim Duncan","PO-0001","Toys","Box Truck","Full Load","Frozen","[""City 6, State 19"",""290 Random St""]","[""City 82, State 67"",""1913 Random Blvd""]","0","1","0","0","0","USD","4372.70","[{""name"":""Fuel Surcharge"",""amount"":38.8140097747781}]","[{""name"":""Holiday Discount"",""amount"":117.28123456282191}]","90.00","60.00","80.00","55.00","4259.18","Handle with care.",NULL,NULL
"7","Customer 2","CR0002","Branch 8","Dennis Rodman","LeBron James","Kobe Bryant","PO-0002","Furniture","Refrigerated Truck","Full Load","Ambient","[""City 47, State 14"",""570 Random St""]","[""City 71, State 80"",""1730 Random Blvd""]","1","0","1","0","0","USD","3557.93","[{""name"":""Fuel Surcharge"",""amount"":66.73954090265553}]","[{""name"":""Holiday Discount"",""amount"":76.90279981830282}]","90.00","60.00","80.00","55.00","3499.47","Fragile items.",NULL,NULL
"8","Customer 3","CR0003","Branch 2","Dennis Rodman","LeBron James","Tim Duncan","PO-0003","Electronics","Flatbed","Full Load","Frozen","[""City 29, State 13"",""662 Random St""]","[""City 73, State 77"",""1284 Random Blvd""]","0","1","0","1","0","USD","1520.01","[{""name"":""Fuel Surcharge"",""amount"":97.08433928571132}]","[{""name"":""Holiday Discount"",""amount"":134.46512907885682}]","90.00","60.00","80.00","55.00","1381.07","Handle with care.",NULL,NULL
"9","Customer 4","CR0004","Branch 5","Michael Jordan","Kevin Durant","Tim Duncan","PO-0004","Toys","Box Truck","Full Load","Chilled","[""City 11, State 7"",""140 Random St""]","[""City 94, State 51"",""1682 Random Blvd""]","0","1","1","1","0","USD","4874.38","[{""name"":""Fuel Surcharge"",""amount"":67.40764945387545}]","[{""name"":""Holiday Discount"",""amount"":142.68078098913287}]","90.00","60.00","80.00","55.00","4758.24","Handle with care.",NULL,NULL
"10","Customer 5","CR0005","Branch 1","Dennis Rodman","Kevin Durant","Tim Duncan","PO-0005","Furniture","Refrigerated Truck","Full Load","Frozen","[""City 43, State 18"",""807 Random St""]","[""City 95, State 72"",""1796 Random Blvd""]","0","0","1","1","0","USD","4826.64","[{""name"":""Fuel Surcharge"",""amount"":87.70547491197216}]","[{""name"":""Holiday Discount"",""amount"":74.06447456983932}]","90.00","60.00","80.00","55.00","4643.54","Handle with care.",NULL,NULL
